,project,average_delay_in_release
200,systemds,40 days 08:00:00
201,tapestry,21 days 08:50:31.578947368
202,tcl,62 days 00:00:00
203,tez,29 days 12:00:00
204,thrift,47 days 05:20:00
205,tika,49 days 00:00:00
206,tinkerpop,0 days 00:00:00
207,tomcat,56 days 21:00:00
208,tomee,8 days 13:38:49.411764705
209,trafficcontrol,0 days 00:00:00
210,trafficserver,55 days 20:00:00
211,turbine,14 days 09:10:35.294117647
212,tvm,154 days 12:00:00
213,uima,21 days 07:30:00
214,unomi,61 days 00:00:00
215,usergrid,
216,vcl,0 days 00:00:00
217,velocity,61 days 00:00:00
218,wicket,161 days 00:00:00
219,ws,49 days 08:00:00
220,xalan,0 days 00:00:00
221,xerces,0 days 00:00:00
222,xmlgraphics,0 days 00:00:00
223,yetus,52 days 00:00:00
224,zeppelin,102 days 12:00:00
225,zookeeper,44 days 00:00:00
