Repo Name,Release Count,Commit Count,PR Count,Average Latency,Average Comments,Contributors
sling-org-apache-sling-provisioning-model,0,2991,122,2806.0819672131147,1.360655737704918,70
maven-parent,0,861,36,442.27777777777777,0.9166666666666666,42
sling-org-apache-sling-junit-teleporter,0,7718,140,2057.2642857142855,1.2714285714285714,93
directory-mavibot,0,50640,271,1330.029520295203,1.1254612546125462,134
maven-script-interpreter,9,108528,478,1726.5836820083682,1.792887029288703,312
xmlgraphics-commons,239,215500,582,831.4278350515464,1.7869415807560138,505
struts1,6,38401,353,1515.084985835694,0.40793201133144474,157
httpcomponents-core,372,289468,1149,832.3637946040035,1.3429068755439513,2052
httpcomponents-client,266,112854,565,1560.0690265486726,1.968141592920354,732
directory-server,102,282081,574,1100.315331010453,1.9790940766550522,2621
avro,141,13511,592,1663.0692567567567,0.668918918918919,359
maven-artifact,13,119443,305,1705.439344262295,1.7573770491803278,327
buildr,418,20495,99,2661.6666666666665,1.1818181818181819,58
geronimo-specs,14,140235,329,2123.4072948328267,0.9544072948328267,400
geronimo-xbean,0,95075,359,1035.9470752089137,1.0807799442896935,218
shiro,4,25550,132,1617.2348484848485,1.3181818181818181,68
activemq-activeio,4,157826,230,5190.269565217392,0.7652173913043478,749
activemq-protobuf,0,177167,304,4298.516447368421,0.6019736842105263,759
thrift,23,100170,632,676.246835443038,0.6756329113924051,794
maven-2,3,101255,505,1272.2712871287129,0.9881188118811881,422
log4j-extras,1,37727,17,399.11764705882354,0.17647058823529413,11
karaf,64,170388,717,905.7670850767086,1.4463040446304045,794
webservices-commons-xmlschema,0,110778,154,3296.1428571428573,0.16883116883116883,250
maven-integration-testing,0,28562,240,1779.7208333333333,1.0,115
geronimo-txmanager,2,272347,164,5265.664634146341,1.25,411
bval,9,55062,91,5032.021978021978,0.7142857142857143,55
mrunit,68,78022,115,1831.2521739130434,0.6608695652173913,481
santuario-java,109,213874,523,785.906309751434,0.367112810707457,1226
oozie,0,35296,191,2404.13612565445,0.7905759162303665,344
commons-compress,46,157740,229,592.7991266375545,1.4497816593886463,401
commons-exec,1,205228,53,2004.188679245283,0.4716981132075472,35
james-mime4j,1,327648,234,1866.9786324786326,1.735042735042735,3653
odftoolkit,69,76553,460,1575.8521739130435,1.0717391304347825,922
cordova-android,0,10170,106,774.1415094339623,1.6037735849056605,220
cordova-js,15,39078,424,620.7877358490566,1.0400943396226414,462
cordova-ios,6,11502,130,1539.5846153846153,1.5923076923076922,232
cordova-windows,17,7787,236,617.9491525423729,0.8983050847457628,77
logging-log4php,34,10753,147,1354.1632653061224,0.25170068027210885,66
cordova-osx,15,8748,307,2304.8469055374594,0.9250814332247557,127
commons-configuration,1,19018,206,91.27669902912622,1.0145631067961165,80
cordova-plugman,16,26481,283,1585.9681978798587,0.5441696113074205,166
commons-beanutils,6,57146,188,854.531914893617,1.6117021276595744,438
logging-log4j2,4,22349,127,1656.5275590551182,1.9448818897637796,151
cordova-plugin-camera,8,7592,210,159.71904761904761,1.2666666666666666,107
cordova-plugin-contacts,267,43093,333,585.8918918918919,0.960960960960961,332
cordova-plugin-device-motion,0,2659,92,2133.4891304347825,0.7608695652173914,58
cordova-plugin-device-orientation,108,7184,323,335.08049535603715,0.6191950464396285,75
cordova-plugin-dialogs,3,20471,104,435.1730769230769,1.5576923076923077,59
cordova-plugin-file-transfer,38,7614,289,435.4463667820069,1.3667820069204153,100
cordova-plugin-file,8,27262,209,622.9186602870814,1.0095693779904307,97
cordova-plugin-globalization,4,72817,89,1583.5393258426966,0.8314606741573034,215
cordova-plugin-media-capture,8,12851,319,946.0940438871473,0.6520376175548589,94
cordova-plugin-media,10,4174,305,1045.7475409836065,1.278688524590164,83
log4j,1,40161,117,844.2905982905983,0.1452991452991453,46
commons-io,2,41918,159,1890.427672955975,1.3459119496855345,140
maven-plugin-tools,3,85983,228,1618.1052631578948,1.9912280701754386,1176
