Repo Name,Is Source?
sgparry/MinEJB,False
akdbreadinggroup/javaee7,False
DerSalvador/jboss-wildfly-anyconnect,False
diamondq/maven-profile-activator,False
JayanthSureshjfrog/testproject,False
lampham82x/JAVAEE-Tutorial,False
eclipse-ee4j/jakartaee-examples,False
AadityaSeshadri/Sample_QA_Challenge,False
dpereira97/Software-Design,False
sanogotech/formationjava,False
ee-eng-cs/Study04,False
ee-eng-cs/Study03,False
UCL/maven-archetypes,False
alplace/jboss-eap-quickstarts,False
fmmh10/SaleSys,False
BerNarDoMelow/BSJ,False
jeicy07/borrowCourt,False
samanalishiri/messaging-tutorial,False
shogoyuasa/jboss-sample,False
alex-alk/BackOfficeEAR,False
alex-alk/BankAccountEAR,False
simoneluciano21/Wildfly062018,False
vazul/m2eclipse-wtp,False
sudhakar1983/PlainJavaRulesEngine,False
jmarshall89/NYU,False
xenron/sandbox-dev-java,False
rdonasco/rdonasco-lib,False
cocoJamboo/jboss-eap-6.4.0.GA-quickstarts,False
nekop/java-examples,False
apache/maven-release,True
grzegorz-aniol/kserializer-playground,False
hanyulua/cs-ecs,False
RamThirupathy/PrintNumbers,False
rakesh-lagare/Query-Translator-for-RDF-Data,False
qq348991318/CSPARQL-Ci,False
lucascalsilva/sb-joke-app,False
thomasalbericci/release,False
confluentinc/kafka-connect-datagen,False
Efficeon/JavaStudent,False
agmatyja/playground,False
farahkarim/CSPARQL-engine-onDemandSemantificationV2,False
farahkarim/CustomizedCSPARQL-engine-OnDFS,False
streamreasoning/CSPARQL-engine,False
dev1269/Query-Translator-for-RDF-Data,False
mobbyd1/c-sparql,False
VeraTsvetkova/Test3,False
olaalnaameh/CustomizedCSPARQL-engine-OnDFS-master,False
nosrepus/CSPARQL-ENGINE,False
apache/pluto,True
gcarroll/uPortal-MyInterior,False
sherlyholmannn/uportal4.0.16,False
stiemannkj1/dynamic-resource-loading-ajax-reproducer,False
cybernetics/liferay-faces,False
uPortal-Attic/ContentManagementPortlet,False
haifeiforwork/ehr-moo,False
TechnicalRican/uPortal,False
gate5/struts-2.3.20,False
niefermar/SinglePageAppPortlets,False
Marloncheg182/Examples,False
Oakland-University/financial-aid-portlet,False
ch3g3v4r4/jee5sample,False
cj-wang/spring-mvc-portlet-demo,False
Ankithukral/oopms,False
apache/pluto,False
wsuetholz/oopms,False
sdeleuze/spring-portlet-sample,False
uPortal-Attic/BlackboardVCPortlet,False
got5/tapestry5-liferay,False
journaldev/journaldev,False
bourey/SkinTestPortlet,False
tha2015/examples,False
CaffeinatedTurtle/public,False
cbhandsun/SocialMarketing,False
unistra/aboutIFrame-portlet,False
msnicklous/SinglePageAppPortlets,False
Rammohanrmc/SVN_IceFaces2GIT,False
uoe-is-apps/AlmaPortlet,False
ngriffin7a/icefaces-svn2git-4.0.0,False
huangxiyao/spf,False
ReviewersBox/HelloPortlet,False
ajkret/sample-portlet,False
ShyamVijayKumar/Spring,False
NetsOSS/nets-oss-parent,False
jsfsessions/booking-system-faces-flow,False
ronry/ronrytest,False
Amrita25/HelloWorldPortlet,False
gofpattern/oopms,False
uPortal-Project/WebproxyPortlet,False
svn2github/icefaces,False
zhangjunfang/nsp,False
UW-Madison-DoIT/NotificationPortlet-UWOverlay,False
timlevett/uportal-bundle,False
got5/tapestry5-portlet,False
joansmith/uPortal,False
ngriffin7a/portletbox,False
phillips1021/springmvcportlet,False
UW-MultiEnvironment-Build/dev-overlay-parent,False
jl1955/uPortal5,False
bjagg/BaseSpringPortlet,False
lu4242/trinidad-demos-with-codi-owb-jpa,False
ASU-Capstone/uPortal-Capstone,False
chomman/uPortal,False
uoe-is-apps/CollaborateUltraPortlet,False
christ6366/repSaac,False
eonas/parentpoms,False
zhaohuabing/practices,False
apache/myfaces-trinidad,False
apache/commons-collections,True
palmsp/mood-tracker-app,False
drizzle888/qy-java,False
B01AND/cyberduck,False
siwaxinwu/test_java8,False
andriylew/az-test-shopizer,False
henriquearaujoo/coinexchange,False
supo9571/manager,False
UniquePerch/xinmiao,False
SS995106/zomato,False
javaTyrant/readZK,False
AishwaryaDeshpande/UpgradBackendRepository,False
big-hedgehog/aidex-sharp,False
LaudateCorpus1/gradle,False
